Brand,Ram,Rom,Extended_Memory,Battery_capacity(mAh),Processor,Price
realme,4,64,256,5000,Qualcomm Snapdragon 665 Processor,7999
Kechaoda,,0.064,32,400,,7999
ASUS,8,128,,6000,Qualcomm Snapdragon 888 (SM8350) Processor,16999
Micromax,,0.032,,800,,30990
LAVA,2,32,512,5000,MediaTek Helio G35 Processor,17990
LAVA,2,32,512,5000,MediaTek Helio G35 Processor,29999
Micromax,4,128,256,5000,MediaTek Helio G85 (MT6769V/CZ) Processor,20990
Ismart,,0.032,,1200,,55999
ASUS,8,128,,6000,Qualcomm Snapdragon 888 (SM8350) Processor,799
Micromax,,0.032,,800,,7999
LAVA,2,32,512,5000,MediaTek Helio G35 Processor,7999
LAVA,2,32,512,5000,MediaTek Helio G35 Processor,16999
Micromax,4,128,256,5000,MediaTek Helio G85 (MT6769V/CZ) Processor,17990
I,,0.064,8,800,,29999
OPPO,4,128,256,5000,,41999
realme,8,128,,4200,Qualcomm Snapdragon 855+ Processor,47999
OPPO,6,128,,5000,,20990
Itel,,0.032,,2500,,11999
realme,3,32,256,5000,Helio G70 Processor,10999
Kechaoda,,0.032,16,800,,10999
Kechaoda,,0.064,32,1700,,20990
Itel,,0.032,,2500,,10127
Nokia,,,,,,10999
REDMI,4,128,,5000,,1199
LAVA,6,64,512,5000,MediaTek Helio G35 Processor,1175
Kechaoda,,0.032,16,800,,11999
KARBONN,,0.032,,1800,,10999
Micromax,,0.032,,2500,,10999
